,,,,,,,,,,,,,,,,,,,,,,,,
combinations,,category,examples,approx combinations,in words,,,"time to crack (brute force attack*, single operator, 11bn guesses / sec)",,,,,,,,,relative length corresponding to password strength,,,,equivalent to,,,by power
"offline, massive cracking array",,,,"100,000,000,000,000",100 trillion,,,390913.098,"6,515.22",108.59,4.52,,,,,,,,,,,,,
supercomputer,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
million,,,,,,,,,,,,,,,,,,,,,,,,10 x 6
billion,,,,,,,,,,,,,,,,,,,,,,,,10 x 9
trillion,,,,,,,,,,,,,,,,,,,,,,,,10 x 12
quadrillion,,,,,,,,,,,,,,,,,,,,,,,,10 x 15
quintillion,,,,,,,,,,,,,,,,,,,,,,,,10 x 18
sextillion,,,,,,,,,,,,,,,,,,,,,,,,10 x 21
septillion,,,,,,,,,,,,,,,,,,,,,,,,10 x 24
octillion,,,,,,,,,,,,,,,,,,,,,,,,10 x 27
nonillion,,,,,,,,,,,,,,,,,,,,,,,,10 x 30
,,,,,,,,,,,,,,,,,,,,,,,,
"*a brute force attack tries every possible combination of letters, numbers and symbols",,,,,,,,,,,,,,,,,,,,,,,,
"if your password is common or based on a dictionary word (for example, 'hello'), it will probably be cracked more quickly by checking it against a list of common passwords",,,,,,,,,,,,,,,,,,,,,,,,http://arstechnica.com/security/2013/05/how-crackers-make-minced-meat-out-of-your-passwords/3/
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
using these sources,,,,,,,,,,,,,,,,,,,,,,,,
https://www.grc.com/haystack.htm,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
https://xato.net/passwords/analyzing-the-xkcd-comic/,,,,,,,,,,,,,,,,,,,,,,,,
https://xato.net/passwords/a-line-from-sf-to-ny/,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
http://rumkin.com/tools/password/passchk.php,,,,,,,,,,,,,,,,,,,,,,,,
